LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID,FCA_DATE,ASSET_CONDITION
SW Rec Center,101,None,None,1,Right of Way Walk,Concrete,0.01957672,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,75856,106962,2019-01-01 00:00:00,Good
Union & Dudley,179,None,None,1,Park Circulation,Concrete,0.11347999,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76430,114858,2019-01-01 00:00:00,Good
Berkeley Lake Park,002,Berkeley Lake Loop,None,1,Park Circulation,Asphalt,0.20374043,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70768,103987,2018-10-23 00:00:00,Poor
Commons Park,902,None,None,1,Park Circulation,Concrete,0.00992085,8.0,None,City & County of Denver,None,2022,None,WLKTRL,WLK-HARD,77392,None,2022-05-06 00:00:00,100
Dailey Park,713,None,None,1,Park Circulation,Asphalt,0.01778334,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71837,105664,2019-01-01 00:00:00,Good
Hampden Heights West Park,615,Hampden Heights Trail,None,2,Minor,Asphalt,0.0897959,8.0,None,City & County of Denver,None,None,None,WLKTRL,TRL-MNR,72377,106509,2019-01-01 00:00:00,Good
Park Ave Parks,317,None,None,1,Right of Way Walk,Concrete,0.0256561,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,76213,112998,2019-01-01 00:00:00,Good
Central Park,561,None,None,1,Park Circulation,Concrete,0.00393942,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73361,106645,2019-01-01 00:00:00,Good
Montbello Central,541,None,None,1,Park Circulation,Concrete,0.01085819,8.0,None,City & County of Denver,None,2021,None,WLKTRL,WLK-HARD,70232,109117,2022-04-15 00:00:00,100
Commons Park,902,None,None,1,Right of Way Walk,Concrete,0.07639034,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,71646,107161,2019-01-01 00:00:00,Good
Sunken Gardens,318,None,None,1,Park Circulation,Concrete,0.01087242,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73705,108835,2019-01-01 00:00:00,Good
Washington Park,711,Meadow Loop,None,1,Park Circulation,Asphalt,0.02786483,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73764,104373,2018-09-21 00:00:00,Poor
Congress Park,314,None,None,1,Park Circulation,Concrete,0.00679942,12.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70730,109176,2019-01-01 00:00:00,Good
Manley Park,337,None,None,1,Park Circulation,Concrete,0.01010582,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,72803,105027,2019-01-01 00:00:00,Good
Ash Grove Park,751,None,None,1,Park Circulation,Concrete,0.02097849,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70436,107791,2019-01-01 00:00:00,Good
DeBoer Park,805,None,None,1,Park Circulation,Concrete,0.02840826,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,75826,106184,2019-01-01 00:00:00,Good
Lowry Sports Complex,L21,None,None,1,Park Circulation,Concrete,0.03081869,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,71210,108566,2019-01-01 00:00:00,Good
Eastmoor Park,606,None,None,1,Park Circulation,Concrete,0.01696639,8.0,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,70523,103957,2019-01-01 00:00:00,Good
Sanderson Gulch,828,None,None,1,Park Circulation,Concrete,0.01771815,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,74718,108957,2019-01-01 00:00:00,Good
Rosamond Park,621,None,None,1,Park Circulation,Concrete,0.05172493,None,None,City & County of Denver,None,2010,None,WLKTRL,WLK-HARD,73071,105080,2019-01-01 00:00:00,Good
Lowry Open Space,L28,None,None,1,Park Circulation,Concrete,0.01290942,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,76442,114807,2019-01-01 00:00:00,Good
Sloans Lake Park,019,None,None,1,Park Circulation,Concrete,0.06164493,None,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,73293,105104,2019-01-01 00:00:00,Good
City Park,201,None,None,1,Park Circulation,Concrete,0.01405393,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-HARD,70079,105449,2019-01-01 00:00:00,Good
Bayuad Park,L05,None,None,1,Right of Way Walk,Concrete,0.01462317,5.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-ROW,74669,108252,2019-01-01 00:00:00,Good
Harvard Gulch East,810,East Harvard Gulch Trail,None,2,Neighborhood,Asphalt,0.05506557,8.0,None,City & County of Denver,None,None,None,WLKTRL,WLK-SOFT,74236,109611,2019-01-01 00:00:00,Good
